# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw_0,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
oh_line_source_equivalence_post_fault,217.537223,-225.087341,-185.215327,-79.689025,78.083273,320.517655
oh_line_1_2,217.537223,-225.087341,-185.215327,-79.689025,78.083273,320.517655
oh_line_2_3,0.000000,0.000000,-66.457572,-38.099300,26.513109,27.254438
oh_line_3_4,0.000000,0.000000,-21.309132,-26.342074,26.513109,27.254438
oh_line_2_5,199.124316,-184.175229,-88.109700,-46.319650,27.131761,268.095432
oh_line_5_6,196.809755,-181.890532,-77.702594,-42.317172,21.345046,246.334205
oh_line_6_7,-14.138574,-3.972181,1.790235,12.629454,10.666141,-10.389041
oh_line_17_24,-14.138574,-3.972181,1.790235,12.629454,10.666141,-10.389041
oh_line_24_25,22.224594,-14.036126,-18.886473,-12.785122,1.029486,26.641928
oh_line_24_26,-36.363168,10.063944,20.676708,25.414576,9.636655,-37.030970
oh_line_6_8,25.347627,-29.602659,0.000000,0.000000,-15.692860,40.906869
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-15.692860,40.906869
oh_line_8_10,25.347627,-29.602659,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,104.427798,-34.781664,16.045733,-18.200920,-4.903246,62.113676
oh_line_16_21,-14.212861,-3.936824,1.812889,12.603388,10.675657,-10.406838
oh_line_21_22,22.265723,-14.178339,-18.878773,-12.724060,1.041959,26.676133
oh_line_21_23,-36.478584,10.241516,20.691662,25.327448,9.633698,-37.082970
oh_line_2_13,18.412908,-40.912112,-30.648055,4.729925,24.438403,25.167784
oh_line_13_14,32.131908,-36.584054,-32.406423,-8.007971,13.882786,35.066046
oh_line_15_18,-13.719000,-4.328057,1.758368,12.737895,10.555617,-9.898262
oh_line_18_19,22.200356,-13.046521,-18.994398,-12.956117,0.501553,25.904966
oh_line_18_20,-35.919356,8.718464,20.752766,25.694012,10.054064,-35.803228
switch_7_17,-14.138574,-3.972181,1.790235,12.629454,10.666141,-10.389041
switch_6_11,106.036759,-67.770876,16.045733,-18.200920,-6.569422,95.574115
switch_12_16,-14.212861,-3.936824,1.812889,12.603388,10.675657,-10.406838
switch_13_15,-13.719000,-4.328057,1.758368,12.737895,10.555617,-9.898262
switch_5_27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_27_29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_11_28,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
switch_28_30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
