# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw_0,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_source_equivalence_post_fault,216.467788,-144.943874,-159.531251,-95.473339,5.306187,273.976858
oh_line_1_2,216.467788,-144.943874,-159.531251,-95.473339,5.306187,273.976858
oh_line_2_3,0.000000,0.000000,-56.014944,-42.839504,16.803408,27.049665
oh_line_3_4,0.000000,0.000000,-16.242269,-26.626251,16.803408,27.049665
oh_line_2_5,194.539566,-114.672782,-75.012491,-53.225507,-26.894433,222.074379
oh_line_5_6,192.250741,-113.194301,-65.987675,-48.301718,-27.688897,203.262679
oh_line_6_7,-10.817464,-5.707789,0.093605,11.783521,10.522635,-6.485914
oh_line_17_24,-10.817464,-5.707789,0.093605,11.783521,10.522635,-6.485914
oh_line_24_25,20.572847,-7.503869,-15.734145,-14.027756,-4.024431,21.758099
oh_line_24_26,-31.390311,1.796080,15.827750,25.811277,14.547066,-28.244014
oh_line_6_8,25.830827,-19.610800,0.000000,0.000000,-20.185039,30.212314
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-20.185039,30.212314
oh_line_8_10,25.830827,-19.610800,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,91.071711,-9.758685,16.942027,-14.711376,-15.299696,49.364889
oh_line_16_21,-10.863793,-5.697942,0.113098,11.766763,10.529144,-6.494065
oh_line_21_22,20.615176,-7.577700,-15.735117,-13.981949,-4.021365,21.776636
oh_line_21_23,-31.478969,1.879758,15.848214,25.748712,14.550509,-28.270701
oh_line_2_13,21.928222,-30.271092,-28.503816,0.591672,15.397212,24.852814
oh_line_13_14,32.472310,-24.416660,-28.565139,-11.248386,4.988492,31.073436
oh_line_15_18,-10.544089,-5.854432,0.061323,11.840058,10.408720,-6.220623
oh_line_18_19,20.440662,-6.962187,-15.771644,-14.137878,-4.242612,21.287155
oh_line_18_20,-30.984751,1.107755,15.832968,25.977936,14.651332,-27.507778
switch_7_17,-10.817464,-5.707789,0.093605,11.783521,10.522635,-6.485914
switch_6_11,98.210818,-36.340042,16.942027,-14.711376,-22.755730,76.155940
switch_12_16,-10.863793,-5.697942,0.113098,11.766763,10.529144,-6.494065
switch_13_15,-10.544089,-5.854432,0.061323,11.840058,10.408720,-6.220623
switch_5_27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_27_29,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_11_28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_28_30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
