# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_source_equivalence_post_fault,217.121549,-194.642689,-177.233328,-84.729711,50.536227,302.592753
oh_line_1_2,217.121549,-194.642689,-177.233328,-84.729711,50.536227,302.592753
oh_line_2_3,0.000000,0.000000,-63.192077,-39.613591,22.855905,27.146373
oh_line_3_4,0.000000,0.000000,-19.719594,-26.444237,22.855905,27.146373
oh_line_2_5,197.413071,-157.767049,-84.056913,-48.539900,6.663546,250.431807
oh_line_5_6,195.109751,-155.785736,-74.079816,-44.244506,2.754068,229.797711
oh_line_6_7,-12.877300,-4.629574,1.256013,12.373614,10.599813,-8.903825
oh_line_17_24,-12.877300,-4.629574,1.256013,12.373614,10.599813,-8.903825
oh_line_24_25,21.600258,-11.555291,-17.909523,-13.188935,-0.884397,24.768580
oh_line_24_26,-34.477559,6.925717,19.165537,25.562550,11.484210,-33.672405
oh_line_6_8,25.533237,-25.805673,0.000000,0.000000,-17.384170,36.817416
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-17.384170,36.817416
oh_line_8_10,25.533237,-25.805673,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,99.367888,-25.257288,16.343341,-17.117768,-8.836669,57.226913
oh_line_16_21,-12.939479,-4.605930,1.277555,12.350980,10.608016,-8.917047
oh_line_21_22,21.642874,-11.667074,-17.905089,-13.133430,-0.876530,24.795508
oh_line_21_23,-34.582353,7.061143,19.182644,25.484410,11.484546,-33.712556
oh_line_2_13,19.708478,-36.875640,-29.984338,3.423779,21.016776,25.014573
oh_line_13_14,32.229716,-31.985478,-31.207407,-9.036380,10.529224,33.529674
oh_line_15_18,-12.521237,-4.890162,1.223070,12.460160,10.487553,-8.515102
oh_line_18_19,21.522796,-10.765504,-17.986651,-13.335451,-1.271492,24.151619
oh_line_18_20,-34.044034,5.875342,19.209720,25.795610,11.759044,-32.666720
switch_7_17,-12.877300,-4.629574,1.256013,12.373614,10.599813,-8.903825
switch_6_11,103.079179,-55.817040,16.343342,-17.117768,-12.693205,88.132643
switch_12_16,-12.939479,-4.605930,1.277555,12.350980,10.608016,-8.917047
switch_13_15,-12.521237,-4.890162,1.223070,12.460160,10.487553,-8.515102
switch_5_27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_27_29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_11_28,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_28_30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
